OSS Title,License Name/Version #,Description,Version
Slurm Workload manager ,GNU General Public License,HPC Workload Manager,25.05.2
MariaDB,GPL 2.0,Open source relational database used by Slurm,10.11.11
Munge-level,GPL 3.0,MUNGE (MUNGE Uid 'N' Gid Emporium) is an authentication service for creating and validating user credentials.,0.5.15
Munge,GPL 3.0,MUNGE (MUNGE Uid 'N' Gid Emporium) is an authentication service for creating and validating user credentials.,0.5.15
python3-PyMySQL,MIT License,Pure-Python MySQL client library,1.1.2
firewalld,GPL-2.0 license,Stateful zone based firewall daemon with D-Bus interface,2.3.0
python3-firewall,GPL-2.0 license,Python3 bindings for firewalld,2.3.0
kubectl,Apache-2.0,Command line tool for Kubernetes,1.34.1
kubelet,Apache-2.0,"Provides external, versioned ComponentConfig API types for configuring the kubelet",1.34.1
kubeadm,Apache-2.0,Fast paths for creating Kubernetes clusters,1.34.1
calico,Apache-2.0,Cloud native networking and network,3.30.3
cri-o,Apache-2.0,CLI and validation tools for Kubelet Container Runtime Interface (CRI),1.34.1
etcd,Apache-2.0,Relational database used by Kubernetes,3.6.4
Kubernetes pip module,Apache-2.0,Official Python client library for kubernetes,33.1.0
Kubernetes Controller manager,Apache-2.0,Kube Controller Management Container,1.34.1
kube scheduler,Apache-2.0,Kubernetes scheduler is a control plane process which assigns Pods to Nodes,1.34.1
kube proxy,Apache-2.0,Kubernetes network proxy,1.34.1
pause,Apache-2.0,kubernetes pause container,3.10.1
coreDNS,Apache-2.0,DNS server that chains plugins,1.12.1
kube-apiserver,Apache-2.0,"The Kubernetes API server validates and configures data for the api objects which include pods, services, replicationcontrollers, and others",1.34.1
whearabouts,Apache-2.0,A CNI IPAM plugin that assigns IP addresses cluster-wide,0.8.0
metallb,Apache-2.0,A network load-balancer implementation for Kubernetes using standard routing protocols,v0.15.2
kube-vip,Apache-2.0 license,Kubernetes Control Plane Virtual IP and Load-Balancer,0.8.9
cryptography,Apache-2.0 OR BSD-3-Clause,cryptography is a package which provides cryptographic recipes and primitives to Python developers.,45.0.7
setuptools,MIT License,Official project repository for the Setuptools build system,80.9.0
jmespath,MIT License,JMESPath is a query language for JSON.,1.0.1
netaddr,BSD License (BSD License),A Python library for representing and manipulating network addresses.,1.3.0
cffi,MIT License,Foreign Function Interface for Python calling C code.,1.17.1
nfs-utils,MIT and GPLv2 and GPLv2+ and BSD,NFS utilities and supporting clients and daemons for the kernel NFS server,2.8.2
tcpdump,BSD-2-Clause AND BSD-3-Clause AND BSD-4-Clause AND BSD-4-Clause-UC AND ISC AND NTP,A network traffic monitoring tool,4.99.4
traceroute,GPL-2.0-or-later,Traces the route taken by packets over an IPv4/IPv6 network,2.1.6
vim,Vim AND LGPL-2.1-or-later AND MIT AND GPL-1.0-only AND (GPL-2.0-only OR Vim) AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND  : GPL-2.0-or-later AND GPL-3.0-or-later AND OPUBL-1.0,VIM editor,9.1.083
vim-enhanced,Vim AND LGPL-2.1-or-later AND MIT AND GPL-1.0-only AND (GPL-2.0-only OR Vim) AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND  : GPL-2.0-or-later AND GPL-3.0-or-later AND OPUBL-1.0,A version of the VIM editor which includes recent enhancements,9.1.083
python3,PSF license,The Python programming language,3.12
python3-pip,MIT license,The Python package installer,25.1.1
git,GPL 3.0,"Git is a fast, scalable, distributed revision control system with an unusually rich command set that provides both high-level operations and full access to internals",2.47.0
git-lfs,MIT License,Git extension for versioning large files,3.3.0
iproute,GPL-2.0 license,"The iproute package contains networking utilities (ip and rtmon, for example) which are designed to use the advanced networking capabilities of the Linux kernel.",6.11.0
systemd-udev,GPL-2.0 license,The systemd System and Service Manager,257
